Date,Amount,Description
2024-01-15,45.50,Starbucks Coffee
2024-01-16,120.00,Amazon Purchase
2024-01-17,35.75,Uber Ride
2024-01-18,89.99,Netflix Subscription
2024-01-19,250.00,Grocery Store
2024-01-20,15.00,CVS Pharmacy
2024-01-21,65.00,Restaurant Dinner
2024-01-22,200.00,Gas Station
2024-01-23,45.00,Target Shopping
2024-01-24,29.99,Spotify Premium
2024-01-25,150.00,Whole Foods Market
2024-01-26,40.00,Uber Eats
2024-01-27,85.00,Best Buy Electronics
2024-01-28,22.50,Coffee Shop
2024-01-29,300.00,Hotel Booking
2024-01-30,55.00,Restaurant Lunch

